name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Karl Roberson,9,6,185.42,92.99,187.96,Southpaw,34,2.57,0.51,2.42,0.57,0.72,0.4,0.4,0.5
Jacob Volkmann,19,7,175.26,70.31,180.34,Southpaw,44,1.19,0.34,1.78,0.52,3.19,0.48,0.52,2.0
Tim Lajcik,7,6,185.42,102.06,None,Orthodox,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lowell Anderson,0,1,167.64,72.57,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Pauga,7,3,187.96,92.99,193.04,Orthodox,37,4.46,0.62,2.73,0.58,0.38,0.07,1.0,0.0
Matt Brown,26,19,182.88,77.11,190.5,Orthodox,44,3.76,0.55,2.92,0.55,1.68,0.46,0.63,1.3
Maia Stevenson,6,5,162.56,52.16,157.48,Orthodox,43,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0
Nick Thompson,38,14,185.42,77.11,187.96,Orthodox,43,1.87,0.42,1.8,0.49,1.06,1.0,0.35,2.6
Tommy Hayden,11,3,175.26,65.77,None,Southpaw,39,1.48,0.27,2.05,0.55,3.42,0.33,0.66,0.0
Joseph Holmes,8,4,193.04,83.91,203.2,Orthodox,29,2.88,0.53,3.08,0.54,1.49,0.4,0.5,0.8
Chris Beal,10,5,170.18,56.7,175.26,Orthodox,39,3.45,0.35,3.18,0.61,1.6,0.58,0.78,0.2
Joseph Benavidez,28,8,162.56,56.7,165.1,Southpaw,40,3.52,0.34,2.67,0.61,1.41,0.3,0.62,0.6
Jailton Almeida,22,3,190.5,92.99,200.66,Orthodox,33,2.62,0.65,0.89,0.41,6.58,0.6,0.6,2.4
JJ Aldrich,14,7,165.1,56.7,170.18,Southpaw,32,3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0
Stipe Miocic,20,5,193.04,108.86,203.2,Orthodox,42,4.67,0.52,4.01,0.52,1.74,0.34,0.65,0.0
Jonathan Brookins,16,10,182.88,65.77,187.96,Southpaw,39,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3
Hayder Hassan,6,3,177.8,77.11,None,,42,2.11,0.46,3.16,0.48,0.0,0.0,0.25,0.0
Quillan Salkilld,8,1,182.88,70.31,190.5,Orthodox,25,5.68,0.56,4.18,0.43,8.81,0.4,1.0,1.0
Marcin Wrzosek,12,4,175.26,70.31,None,,37,3.47,0.43,4.07,0.43,3.0,0.25,0.33,0.0
Rousimar Palhares,19,8,172.72,77.11,180.34,Orthodox,45,1.75,0.51,2.04,0.59,3.93,0.45,0.0,4.1
Yushin Okami,34,12,187.96,77.11,190.5,Southpaw,43,2.06,0.38,2.25,0.6,1.98,0.39,0.84,0.5
Frank Caracci,2,3,187.96,77.11,None,,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Vera,12,4,167.64,61.23,175.26,Orthodox,37,1.53,0.57,2.79,0.49,0.0,0.0,0.25,1.6
Cody Garbrandt,14,6,172.72,61.23,165.1,Orthodox,33,2.98,0.4,3.76,0.6,1.03,0.34,0.8,0.0
Patrick Cummins,10,7,187.96,92.99,193.04,Orthodox,44,4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1
Saidyokub Kakhramonov,10,3,172.72,61.23,175.26,Orthodox,29,2.05,0.51,0.88,0.58,6.63,0.48,0.83,1.9
Davi Ramos,10,4,167.64,70.31,177.8,Orthodox,38,2.64,0.37,3.44,0.56,1.95,0.4,0.83,0.6
Ashkan Mokhtarian,13,3,167.64,56.7,170.18,Southpaw,39,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0
Nyamjargal Tumendemberel,8,1,170.18,56.7,180.34,Orthodox,27,3.13,0.38,3.29,0.51,2.42,0.31,0.52,2.4
Askar Mozharov,19,13,190.5,92.99,187.96,Orthodox,30,0.43,0.18,4.07,0.13,0.0,0.0,0.33,0.0
Luana Pinheiro,11,4,157.48,52.16,157.48,Orthodox,32,3.42,0.4,4.03,0.61,1.8,0.33,0.69,0.2
Justin Wren,13,2,187.96,120.2,None,Orthodox,37,3.43,0.35,2.07,0.64,0.0,0.0,1.0,0.0
Joseph Gigliotti,7,2,180.34,83.91,None,Orthodox,31,1.04,0.39,2.92,0.45,1.56,1.0,0.5,0.8
Joselyne Edwards,14,6,172.72,61.23,177.8,Orthodox,29,4.48,0.52,3.19,0.49,1.23,0.39,0.61,0.6
Brad Gumm,10,6,180.34,77.11,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberta Cerra Leon,0,1,172.72,107.95,None,,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elijah Smith,8,1,175.26,61.23,180.34,Orthodox,22,3.83,0.41,3.87,0.47,4.0,0.53,0.66,1.0
Marcus Brimage,7,7,162.56,61.23,180.34,Southpaw,39,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0
William Macario,9,3,180.34,77.11,190.5,Orthodox,33,4.92,0.54,3.96,0.65,1.85,0.45,0.78,0.0
Ben Rothwell,39,14,193.04,120.2,198.12,Orthodox,43,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4
Austin Arnett,16,6,182.88,65.77,182.88,Orthodox,33,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2
